data_type,structure_category,tree_category,time_category,prediction_category,size,Kendall [c],Kendall [p],Spearman [c],Spearman [p]
val,unseen,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
val,unseen,unseen,all,all,3084,0.266±0.010,0.613±0.023,0.372±0.014,0.778±0.026
val,unseen,unseen,all,underestimated,1417,0.359±0.044,0.770±0.020,0.505±0.063,0.907±0.016
val,unseen,unseen,all,overestimated,1667,0.216±0.041,0.652±0.021,0.302±0.059,0.809±0.025
val,unseen,unseen,small,all,770,0.055±0.070,0.090±0.046,0.082±0.104,0.128±0.073
val,unseen,unseen,small,underestimated,195,0.239±0.075,0.521±0.086,0.322±0.118,0.679±0.125
val,unseen,unseen,small,overestimated,575,0.147±0.072,0.243±0.042,0.236±0.104,0.355±0.066
val,unseen,unseen,medium,all,1591,0.199±0.065,0.425±0.068,0.284±0.094,0.569±0.091
val,unseen,unseen,medium,underestimated,745,0.279±0.049,0.623±0.046,0.395±0.073,0.787±0.047
val,unseen,unseen,medium,overestimated,846,0.134±0.088,0.493±0.094,0.190±0.129,0.624±0.116
val,unseen,unseen,big,all,722,0.104±0.055,0.457±0.088,0.159±0.078,0.596±0.091
val,unseen,unseen,big,underestimated,477,0.070±0.051,0.511±0.052,0.112±0.073,0.649±0.062
val,unseen,unseen,big,overestimated,245,0.219±0.090,0.633±0.167,0.313±0.106,0.771±0.165
test,all,all,all,all,4992,0.061±0.000,0.856±0.009,0.076±0.000,0.954±0.006
test,all,all,all,underestimated,1952,0.098±0.032,0.915±0.010,0.123±0.048,0.981±0.004
test,all,all,all,overestimated,3039,0.052±0.023,0.818±0.015,0.064±0.034,0.933±0.009
test,all,all,small,all,1766,-0.044±0.000,0.394±0.026,-0.081±0.000,0.574±0.036
test,all,all,small,underestimated,171,-0.238±0.220,0.624±0.125,-0.355±0.281,0.776±0.146
test,all,all,small,overestimated,1594,-0.018±0.033,0.469±0.030,-0.042±0.049,0.665±0.035
test,all,all,medium,all,1238,0.205±0.000,0.764±0.038,0.276±0.000,0.882±0.033
