data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
val,seen,unseen,small,underestimated,357,0.004±0.001,0.441±0.058
val,seen,unseen,small,overestimated,803,7.705±8.865,137.274±34.084
val,seen,unseen,medium,all,2668,2.649±1.056,0.554±0.123
val,seen,unseen,medium,underestimated,1358,0.385±0.245,0.291±0.034
val,seen,unseen,medium,overestimated,1311,4.904±2.242,0.830±0.270
val,seen,unseen,big,all,1565,61.327±28.291,0.173±0.023
val,seen,unseen,big,underestimated,883,100.158±53.443,0.197±0.028
val,seen,unseen,big,overestimated,682,12.640±6.246,0.143±0.020
val,unseen,all,all,all,3084,56.986±9.103,81.318±23.527
val,unseen,all,all,underestimated,1417,90.016±19.812,0.406±0.036
val,unseen,all,all,overestimated,1667,30.314±12.690,151.563±48.032
val,unseen,all,small,all,771,7.887±4.068,323.084±95.537
val,unseen,all,small,underestimated,195,0.004±0.001,0.492±0.088
val,unseen,all,small,overestimated,576,10.593±5.517,428.537±115.887
val,unseen,all,medium,all,1592,10.096±4.216,1.668±0.428
val,unseen,all,medium,underestimated,745,0.815±0.181,0.386±0.015
val,unseen,all,medium,overestimated,846,18.455±7.622,2.847±0.878
val,unseen,all,big,all,722,214.595±38.448,0.398±0.048
val,unseen,all,big,underestimated,477,264.733±49.683,0.394±0.052
val,unseen,all,big,overestimated,245,123.206±83.239,0.398±0.086
val,unseen,seen,all,all,0,0.000±0.000,0.000±0.000
val,unseen,seen,all,underestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,all,overestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,small,all,0,0.000±0.000,0.000±0.000
val,unseen,seen,small,underestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,small,overestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,medium,all,0,0.000±0.000,0.000±0.000
val,unseen,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,big,all,0,0.000±0.000,0.000±0.000
val,unseen,seen,big,underestimated,0,0.000±0.000,0.000±0.000
val,unseen,seen,big,overestimated,0,0.000±0.000,0.000±0.000
val,unseen,unseen,all,all,3084,56.986±9.103,81.318±23.527
val,unseen,unseen,all,underestimated,1417,90.016±19.812,0.406±0.036
val,unseen,unseen,all,overestimated,1667,30.314±12.690,151.563±48.032
val,unseen,unseen,small,all,771,7.887±4.068,323.084±95.537
val,unseen,unseen,small,underestimated,195,0.004±0.001,0.492±0.088
val,unseen,unseen,small,overestimated,576,10.593±5.517,428.537±115.887
val,unseen,unseen,medium,all,1592,10.096±4.216,1.668±0.428
val,unseen,unseen,medium,underestimated,745,0.815±0.181,0.386±0.015
val,unseen,unseen,medium,overestimated,846,18.455±7.622,2.847±0.878
val,unseen,unseen,big,all,722,214.595±38.448,0.398±0.048
val,unseen,unseen,big,underestimated,477,264.733±49.683,0.394±0.052
val,unseen,unseen,big,overestimated,245,123.206±83.239,0.398±0.086
test,all,all,all,all,4992,26.464±15.335,11.701±2.611
test,all,all,all,underestimated,1953,53.563±36.062,0.137±0.014
test,all,all,all,overestimated,3039,8.981±5.418,19.300±4.949
test,all,all,small,all,1766,3.187±2.266,32.815±7.327
test,all,all,small,underestimated,171,0.001±0.000,0.356±0.119
test,all,all,small,overestimated,1595,3.520±2.503,36.324±7.905
test,all,all,medium,all,1238,0.750±0.961,0.287±0.079
test,all,all,medium,underestimated,672,0.169±0.111,0.193±0.037
test,all,all,medium,overestimated,566,1.728±2.708,0.425±0.186
test,all,all,big,all,1988,63.155±37.267,0.054±0.002
test,all,all,big,underestimated,1109,97.564±69.192,0.067±0.008
test,all,all,big,overestimated,879,23.147±19.784,0.037±0.009
test,all,seen,all,all,4032,0.520±0.046,7.996±1.394
test,all,seen,all,underestimated,1584,0.622±0.096,0.106±0.014
test,all,seen,all,overestimated,2448,0.453±0.056,13.149±2.482
test,all,seen,small,all,1432,0.021±0.005,22.383±3.880
test,all,seen,small,underestimated,155,0.001±0.001,0.354±0.110
test,all,seen,small,overestimated,1277,0.024±0.005,25.001±4.022
test,all,seen,medium,all,999,0.027±0.008,0.146±0.016
test,all,seen,medium,underestimated,556,0.035±0.018,0.162±0.030
test,all,seen,medium,overestimated,443,0.018±0.004,0.129±0.017
test,all,seen,big,all,1601,1.272±0.099,0.025±0.001
test,all,seen,big,underestimated,874,1.102±0.159,0.025±0.002
test,all,seen,big,overestimated,727,1.486±0.259,0.024±0.002
test,all,unseen,all,all,960,134.174±76.001,26.988±11.100
test,all,unseen,all,underestimated,368,279.401±182.137,0.270±0.025
test,all,unseen,all,overestimated,591,45.003±29.774,44.434±19.939
test,all,unseen,small,all,334,16.116±10.300,78.684±36.849
test,all,unseen,small,underestimated,16,0.001±0.001,0.408±0.235
test,all,unseen,small,overestimated,318,16.860±10.629,82.547±37.727
test,all,unseen,medium,all,239,3.610±4.680,0.883±0.358
test,all,unseen,medium,underestimated,116,0.765±0.591,0.335±0.057
test,all,unseen,medium,overestimated,123,6.892±10.453,1.448±0.743
test,all,unseen,big,all,387,314.153±181.444,0.173±0.010
test,all,unseen,big,underestimated,236,442.680±294.560,0.219±0.030
test,all,unseen,big,overestimated,151,121.790±108.301,0.096±0.039
test,seen,all,all,all,4611,11.974±10.787,8.509±1.234
test,seen,all,all,underestimated,1835,26.573±26.102,0.119±0.017
test,seen,all,all,overestimated,2776,1.918±0.620,14.107±2.275
test,seen,all,small,all,1576,1.319±1.573,24.661±3.207
test,seen,all,small,underestimated,167,0.001±0.000,0.357±0.119
test,seen,all,small,overestimated,1408,1.434±1.702,27.551±3.359
test,seen,all,medium,all,1162,0.598±1.090,0.195±0.061
test,seen,all,medium,underestimated,636,0.052±0.022,0.173±0.032
test,seen,all,medium,overestimated,526,1.549±2.986,0.242±0.170
test,seen,all,big,all,1873,27.863±25.730,0.038±0.003
test,seen,all,big,underestimated,1032,49.517±50.035,0.045±0.008
